index,iteration,cons_name,cons_data_id,label
0,0,Recall,NA,NA
1,0,Precision,NA,NA
2,0,F1-Score,NA,NA
3,1,Recall,NA,NA
4,1,Precision,NA,NA
5,1,F1-Score,NA,NA
6,1,Critical-Items,"198" || "200",NA
7,2,Recall,NA,NA
8,2,Precision,NA,NA
9,2,F1-Score,NA,NA
10,2,Critical-Items,"198" || "200",NA
11,2,Similarity-Metric,"191" || "169" || "211",Similar
12,3,Recall,NA,NA
13,3,Precision,NA,NA
14,3,F1-Score,NA,NA
15,3,Critical-Items,"198" || "200",NA
16,3,Similarity-Metric,"191" || "169" || "211",Similar
17,3,Test-Precision,NA,NA
18,3,Test-F1-Score,NA,NA
19,4,Recall,NA,NA
20,4,Precision,NA,NA
21,4,F1-Score,NA,NA
22,4,Critical-Items,"198" || "200",NA
23,4,Similarity-Metric,"191" || "169" || "211",Similar
24,4,Test-Precision,NA,NA
25,4,Test-F1-Score,NA,NA
26,4,Training-Accuracy,NA,NA
