index,iteration,cons_name,cons_data_id,label
0,0,Recall,NA,NA
1,0,Precision,NA,NA
2,0,F1-Score,NA,NA
3,1,Recall,NA,NA
4,1,Precision,NA,NA
5,1,F1-Score,NA,NA
6,1,Test-Recall,NA,NA
7,2,Recall,NA,NA
8,2,Precision,NA,NA
9,2,F1-Score,NA,NA
10,2,Test-Recall,NA,NA
11,2,Test-Precision,NA,NA
12,3,Recall,NA,NA
13,3,Precision,NA,NA
14,3,F1-Score,NA,NA
15,3,Test-Recall,NA,NA
16,3,Test-Precision,NA,NA
17,3,Same-Label,"339" || "218",welfare_city
18,4,Recall,NA,NA
19,4,Precision,NA,NA
20,4,F1-Score,NA,NA
21,4,Test-Recall,NA,NA
22,4,Test-Precision,NA,NA
23,4,Same-Label,"339" || "218",welfare_city
24,4,Critical-Items,"37" || "158" || "226",NA
